id,cache-references,cache-misses,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-loads,dTLB-load-misses,label,attack_type,load_level
ff_libsystemd.so.0_no-load_16,95555158,1742788,22421952997,44090412893,8533708082,9328783,11267915749,16004214,6814869,222754,11268867741,1726021,1,ff,no-load
ff_libsystemd.so.0_no-load_17,101625941,1986516,22637803366,43854386383,8487284253,19059734,11208598296,16967198,7446821,252798,11218073271,1718796,1,ff,no-load
ff_libsystemd.so.0_no-load_18,95368518,1756893,22515998058,43596080979,8439674906,19052162,11152411279,17192055,7365346,222125,11146052748,1690810,1,ff,no-load
ff_libsystemd.so.0_no-load_19,97948583,2538120,22452615010,43407473265,8402412157,19066122,11086480180,17133722,7470118,341843,11108441913,1732743,1,ff,no-load
ff_libsystemd.so.0_no-load_20,95857741,1777645,22404623302,43357936201,8393361534,19117726,11085542855,16606386,7322397,225080,11086746343,1692142,1,ff,no-load
ff_libsystemd.so.0_no-load_21,97478230,1956852,22456062069,43798728081,8553772171,9398016,11328925963,15983567,6963682,248664,11329419532,1741354,1,ff,no-load
ff_libsystemd.so.0_no-load_22,96033657,2318785,22479970301,44105135864,8536898868,9457402,11276975318,16918030,7061531,297964,11272452073,1760320,1,ff,no-load
ff_libsystemd.so.0_no-load_23,100746314,1741349,22439933007,43376966941,8394472250,19004046,11090300403,17355015,7645302,218852,11089700368,1700750,1,ff,no-load
ff_libsystemd.so.0_no-load_24,106552387,2135024,22474465667,43381319861,8393713917,19281207,11095012840,18681410,8334783,279162,11144884679,1767929,1,ff,no-load
ff_libsystemd.so.0_avg-load_0,1694564029,2898045,63012806074,112391699309,16173260997,90733908,20032345932,1445110590,410797902,350189,19981395763,1427386,1,ff,avg-load
ff_libsystemd.so.0_avg-load_1,1623483962,2644366,63086535895,112148700285,16081712210,97322712,19899395762,1449702762,350810998,320544,19940474643,1431229,1,ff,avg-load
ff_libsystemd.so.0_avg-load_2,1726919653,2608880,63058811024,111819380205,16043742221,99847158,19832171608,1449739540,423904767,338792,19777599258,1399180,1,ff,avg-load
ff_libsystemd.so.0_avg-load_3,2039940320,3091701,62913506334,111149451033,16050260110,88798752,19881895496,1362561461,572386464,292384,19760095270,1427014,1,ff,avg-load
ff_libsystemd.so.0_avg-load_4,1666010134,2312881,63021950262,112406193307,16149322815,90501402,19975350411,1484149946,375912778,350480,19996341776,1427979,1,ff,avg-load
ff_libsystemd.so.0_avg-load_5,1795509304,3087014,63000909192,111173696647,15970527691,98930408,19752814628,1428629461,370426494,414717,19768741381,1474052,1,ff,avg-load
ff_libsystemd.so.0_avg-load_6,1700355125,4047618,63303044431,112866991732,16254719699,92770761,20128815408,1455098706,391305794,362813,20113977995,1476094,1,ff,avg-load
ff_libsystemd.so.0_avg-load_7,1636968112,2701915,63064124695,111260609717,15973108029,101188202,19794732128,1425253609,353651989,343248,19844537734,1403843,1,ff,avg-load
ff_libsystemd.so.0_avg-load_8,1824650342,2172112,62909865845,111325544408,15990532839,96595288,19765326793,1408173864,419797967,353511,19912297695,1400785,1,ff,avg-load
ff_libsystemd.so.0_avg-load_9,1558201520,3030725,62980814422,112357953525,16166879029,91043612,20006382590,1471404523,355068967,352567,20041734951,1423038,1,ff,avg-load
ff_libsystemd.so.0_avg-load_10,1604899918,2147279,62977001372,112258872399,16147570114,90689821,20000146730,1451638438,361747930,348756,20012868397,1448370,1,ff,avg-load
ff_libsystemd.so.0_avg-load_11,1573290827,2753876,63014071596,111956794907,16094305176,100180467,19947826470,1485331048,342899033,363969,19859798164,1420376,1,ff,avg-load
ff_libsystemd.so.0_avg-load_12,1486808574,2588560,62962185446,111997714641,16076528571,99590323,19873088319,1485679228,324082680,386416,19827160193,1428610,1,ff,avg-load
ff_libsystemd.so.0_avg-load_13,1706239856,3330280,63058042203,111750811524,16053774407,100338771,19838104555,1461960228,376513818,338686,19811039267,1410935,1,ff,avg-load
ff_libsystemd.so.0_avg-load_14,1706600285,3618814,63021400235,111412497357,16029721107,99150430,19826755753,1451580229,366541051,371294,19769924181,1434721,1,ff,avg-load
ff_libsystemd.so.0_avg-load_15,1572122200,2684888,63193394133,112381157579,16099004025,101998591,19932105930,1474881503,338952732,350291,19939249321,1407419,1,ff,avg-load
ff_libsystemd.so.0_avg-load_16,1654880946,4127696,63383318430,111925050018,16059414758,101436105,19885888508,1405031703,350551635,422528,20042455615,1479704,1,ff,avg-load
ff_libsystemd.so.0_avg-load_17,1708104948,3414948,63225690526,111626958961,15991462611,93337339,19801432894,1367083273,357257438,349543,20253007928,1433682,1,ff,avg-load
ff_libsystemd.so.0_avg-load_18,1672356176,3157024,62973990153,112518787170,16217071593,89859051,20039812985,1479544613,345098449,349463,19948431051,1437214,1,ff,avg-load
ff_libsystemd.so.0_avg-load_19,1857404243,2972024,62978231171,111961281526,16111565776,92405467,19947148742,1389844678,461939218,319441,20047628653,1398286,1,ff,avg-load
ff_libsystemd.so.0_avg-load_20,1512402362,3492560,62978866712,112324552293,16126427037,94721208,19963630194,1475959331,313201361,330740,20005804021,1432314,1,ff,avg-load
ff_libsystemd.so.0_avg-load_21,1663131939,2766935,62985156303,112274570866,16157599570,94470965,20004410390,1465266152,370391260,323725,19940682693,1409327,1,ff,avg-load
ff_libsystemd.so.0_avg-load_22,1632489328,2944650,63068166071,111539896140,16026066399,100477938,19823409918,1446499433,393405824,368856,19790094112,1427372,1,ff,avg-load
ff_libsystemd.so.0_avg-load_23,1653566867,2616942,62992482353,112177834415,16122719376,96313501,19938006849,1473377743,363056149,357066,19893862912,1431220,1,ff,avg-load
ff_libsystemd.so.0_avg-load_24,1667118407,3135958,62927344909,111798733315,16067557713,99012454,19889373039,1437515115,401298169,306095,19920620866,1398079,1,ff,avg-load
ff_libsystemd.so.0_full-load_0,4230207841,640027751,146127870223,253133081696,33698373229,164029146,47360964919,3070811245,1011656673,23422965,47202851154,11843246,1,ff,full-load
ff_libsystemd.so.0_full-load_1,3777102150,624278613,144596447014,251612046853,33726604946,173452782,47059578461,3166434640,864137897,22803472,46941171030,11307749,1,ff,full-load
ff_libsystemd.so.0_full-load_2,4003769275,614171857,141589065891,244643741698,32802525530,171590708,46180850642,2928118185,899495338,23931901,46871578906,11330294,1,ff,full-load
ff_libsystemd.so.0_full-load_3,4437745588,596677383,144200709915,246536393815,33018514002,173670389,46235841995,2979270433,1041792358,23402150,46543667396,10749512,1,ff,full-load
ff_libsystemd.so.0_full-load_4,3546314670,600958718,138912730408,243861159693,32956137350,157980613,45947058523,3175273918,1278305000,22705413,44575317077,9782925,1,ff,full-load
ff_libsystemd.so.0_full-load_5,3539978303,666235771,140431303842,247494498414,33003748460,153278479,46852389158,3085323820,769389541,23468903,46684059223,10153191,1,ff,full-load
ff_libsystemd.so.0_full-load_6,3884023757,616960135,142100950552,245984760245,33229208836,166759970,46199684074,3149275586,993413557,23560619,45974007394,9656525,1,ff,full-load
ff_libsystemd.so.0_full-load_7,4475090130,496741133,137202957990,235080784426,31549487553,167408940,43557873292,2908030277,1137521931,16480513,43508930727,5256316,1,ff,full-load
ff_libsystemd.so.0_full-load_8,4482747808,634923671,142888216057,245642529933,32810822796,159677323,45897623013,2904880184,1081333382,24490098,46374285010,5474090,1,ff,full-load
ff_libsystemd.so.0_full-load_9,4378877319,583927172,142645547650,245300249046,33267562783,158887786,46301176868,2961343852,1020668634,21697556,45976248296,10120946,1,ff,full-load
ff_libsystemd.so.0_full-load_10,4003523144,469459490,140627311670,235121572344,31771867053,169538911,43332522866,3191677447,1107146119,15707328,42631432529,4895668,1,ff,full-load
ff_libsystemd.so.0_full-load_11,4397008437,464568060,142137274416,234173475367,31674968775,176264351,42999914274,2945199668,1085829876,16913741,43467274775,4890033,1,ff,full-load
ff_libsystemd.so.0_full-load_12,4524033278,598517206,139322167422,234656404592,30889149786,164064499,43168495553,3210639442,1364484854,21233728,41926824298,8177223,1,ff,full-load
ff_libsystemd.so.0_full-load_13,4187636919,558039549,137755521725,240375913091,32175457007,148816326,44749820393,3002238373,929762550,18385575,44778155167,5473265,1,ff,full-load
ff_libsystemd.so.0_full-load_14,3771125268,518384354,133559201427,230703444062,30957060625,154439017,42989694433,2722204741,977129252,17705655,43495049017,6063910,1,ff,full-load
ff_libsystemd.so.0_full-load_15,4019150201,605547084,140349139390,243311957830,32905357132,166128255,45896642928,2889690532,1340952794,22853936,45655616568,10539712,1,ff,full-load
ff_libsystemd.so.0_full-load_16,4019657283,523986751,135829248679,229303259763,29951198198,170564059,41478738499,2819907093,808634751,18510512,42312166529,5585860,1,ff,full-load
ff_libsystemd.so.0_full-load_17,3898078660,732772766,140035545722,249627338866,33827198340,142871712,48306936774,2855498680,1360655415,26850803,47454417901,14328470,1,ff,full-load
ff_libsystemd.so.0_full-load_18,3980336288,569290664,136395234913,239436616288,31976009212,157220358,44875131357,2928477069,1018842208,18572211,44805281463,6187435,1,ff,full-load
ff_libsystemd.so.0_full-load_19,3565818498,609163421,136805180473,244611006036,32924433933,148826726,46376815705,2860891686,1060225687,22506939,46150375987,6883060,1,ff,full-load
ff_libsystemd.so.0_full-load_20,3741440604,509378599,135079473806,231611121816,30988004773,167272172,42988462916,2881980376,820004269,17493173,43109547901,5647432,1,ff,full-load
ff_libsystemd.so.0_full-load_21,4142816245,542118371,133826804039,227204164548,30178934326,162433096,42088276060,2906388159,1091977682,18409715,41878581298,5576154,1,ff,full-load
ff_libsystemd.so.0_full-load_22,4317060959,566169978,141537923739,245519421457,33024461218,164073365,45807128465,2961303959,1125485810,22042729,45877439382,8520320,1,ff,full-load
ff_libsystemd.so.0_full-load_23,3753840186,545971348,135879899698,235165321427,31748116161,151875111,44009986949,2904515387,1103754481,18896117,43475052969,6995396,1,ff,full-load
