id,cache-references,cache-misses,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-loads,dTLB-load-misses,label,attack_type,load_level
benign_full-load_265,4214264746,722641200,119867846604,221636590418,27037797318,167573254,39088867471,3184925462,916181941,26624130,39061261928,11518085,0,benign,full-load
benign_full-load_266,5081707589,660991046,119840844752,218948371327,27150843825,171221602,38940701611,2984161686,929944248,28270458,38574295695,10235198,0,benign,full-load
benign_full-load_267,4720627146,664191271,118040067298,217114361585,26107915564,176267918,37635668836,2784074873,891094767,25061894,39140110166,9169639,0,benign,full-load
benign_full-load_268,4527030905,706056731,119615157103,220497179044,26498810428,168641386,38297533579,2966599867,697987018,25360261,39169653685,13017692,0,benign,full-load
benign_full-load_269,4457154707,679958892,118673261998,220730026277,26642771455,173523884,38819183785,3200809739,855167833,25948360,39123745319,11297654,0,benign,full-load
benign_full-load_270,3933014533,696761929,118576539828,221760985904,27035355546,155527649,38710107001,3274320005,722030958,24294519,38601081717,11041499,0,benign,full-load
benign_full-load_271,4514804799,741167179,121683569426,220511003714,27071842092,181777539,39220819902,2978313081,864908948,28849707,39963769477,17379249,0,benign,full-load
benign_full-load_272,4236402372,686624408,119139273014,220832712308,26767676434,163388769,38615051098,3123223925,810084970,26522179,39412024455,10815300,0,benign,full-load
benign_full-load_273,4405587873,643250980,117909370360,218343603930,26436462541,177141115,37818355385,3048473062,903070899,20892258,38179887409,9852319,0,benign,full-load
benign_full-load_274,4475845579,692796894,119473459308,221688708849,26927268941,167993660,38832965994,3254348794,986569809,27762366,38701545403,11369359,0,benign,full-load
benign_full-load_275,4010038676,661620446,119787226498,219918768882,27163081006,165489466,38525169695,3337587297,804055223,29171415,38176958516,10064408,0,benign,full-load
benign_full-load_276,5014649318,663757298,118661748742,218502818221,26164576993,174700034,37916231522,2834410602,945797925,27013465,39458844643,9591644,0,benign,full-load
benign_full-load_277,4457704348,590911920,113887957956,209118682398,25480766295,158117677,36054859207,3147472977,790192597,20135508,36290425217,6471981,0,benign,full-load
benign_full-load_278,4543267795,698521198,119484521163,220481606416,27483616582,155815303,39243273258,3172255048,1202350160,28311551,38463176897,12440737,0,benign,full-load
benign_full-load_279,4579411996,676403092,118959913050,221689073084,27280654628,165133904,39168323014,3148366639,1414138637,27847353,38580715071,11654408,0,benign,full-load
benign_full-load_280,4613956817,712959958,122885123216,225853752705,28076518168,159286751,40016327539,3255440284,902546602,24881282,38885309845,11536600,0,benign,full-load
benign_full-load_281,4276545901,696629485,119603174345,221228425462,26605679974,171764661,38602334015,3047954792,807974110,27878360,39415357663,12493498,0,benign,full-load
benign_full-load_282,4255633505,685295155,118951072899,219201974651,26177339679,182428085,38091648377,2876058873,612241168,29281547,39711769641,12331861,0,benign,full-load
benign_full-load_283,4587393179,703414446,119905389191,219283566899,26773003674,167078369,38583618088,2988012051,853836587,27245158,39010856045,14155182,0,benign,full-load
benign_full-load_284,4712697777,658371199,116750208634,215884148857,26417278718,155999517,37817308004,3026884521,1262593724,18717634,36980949843,9280941,0,benign,full-load
benign_full-load_285,4562768603,678268457,118357583443,221347503052,27174053432,156954340,38928822374,3264383617,1202755966,26936042,38302604470,9958994,0,benign,full-load
benign_full-load_286,3897135449,704333516,119468535309,224884501957,27322948366,170563773,39524409010,3574827215,952211029,25332259,38922344399,13096732,0,benign,full-load
benign_full-load_287,4077239354,688083063,119068012616,222834474083,27164555570,163580369,38669045722,3317484583,884993144,27784295,38444492987,12203493,0,benign,full-load
benign_full-load_288,4104381049,634650344,116745968674,218154852372,26531688395,165675393,37814794334,3216390857,851084507,24671268,38263721112,8070084,0,benign,full-load
benign_full-load_289,4798358948,705516295,119947554048,221540614405,26721725180,176822910,38848037994,3051907722,1008424896,30109520,39158235622,14571984,0,benign,full-load
benign_full-load_290,4675665686,706260403,118987809340,221111734799,26857170805,156766768,38635626449,3216068843,1027363711,24180638,38194835840,11286662,0,benign,full-load
benign_full-load_291,4450367993,726918364,119675501054,221544877243,26943776564,171480742,38839740810,3189742431,909941540,29623110,39018107783,13188447,0,benign,full-load
benign_full-load_292,4671791956,704232727,118624504390,222038776706,27173593229,163343046,39336667659,3228172423,1328244763,26632063,38431504453,11535425,0,benign,full-load
benign_full-load_293,3923746275,712703259,119616022322,222422327976,26866332409,169978697,38597934716,3175235774,717353317,29409488,39009321636,13251400,0,benign,full-load
benign_full-load_294,4046927576,722316530,119865258643,223842535432,26979769777,172629425,39421665161,3273119079,872884560,26649067,39461776747,13872817,0,benign,full-load
benign_full-load_295,4295738265,695541992,120561483929,220397477222,27294729513,147292331,38821458141,3279191413,902447108,30251143,38573682821,10975212,0,benign,full-load
benign_full-load_296,4140271097,724517924,120080204817,223552223322,27958806684,164110423,39577496462,3359311494,1147235356,28912104,38123929805,10815966,0,benign,full-load
benign_full-load_297,3757356939,666980525,119019330752,222065293930,26782626958,173462382,38218227573,3241141464,819499638,27528359,38385986579,12971096,0,benign,full-load
benign_full-load_298,4055378453,713868740,119789752332,221917146272,26682719300,178260542,38766120580,3165912502,735490787,29438892,39573133104,13259745,0,benign,full-load
